,Cost,Turnover,TTP_MTD,TTP_AT50,AbsTimeGained,RelTimeGained
0,0.0,0.0,258.0,285.0,27.0,10.465116279069768
1,0.0,0.1,286.0,329.0,43.0,15.034965034965033
2,0.0,0.2,328.0,428.0,100.0,30.48780487804878
3,0.0,0.3,397.0,591.0,194.0,48.86649874055416
4,0.1,0.0,283.0,317.0,34.0,12.014134275618375
5,0.1,0.1,319.0,395.0,76.0,23.824451410658305
6,0.1,0.2,374.0,482.0,108.0,28.87700534759358
7,0.1,0.3,480.0,693.0,213.0,44.375
8,0.2,0.0,314.0,353.0,39.0,12.420382165605096
9,0.2,0.1,361.0,451.0,90.0,24.930747922437675
10,0.2,0.2,439.0,609.0,170.0,38.724373576309794
11,0.2,0.3,638.0,1029.0,391.0,61.28526645768025
12,0.3,0.0,352.0,395.0,43.0,12.215909090909092
13,0.3,0.1,417.0,515.0,98.0,23.501199040767386
14,0.3,0.2,537.0,779.0,242.0,45.06517690875233
15,0.3,0.3,,,,
